Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
2/3/14,150.7953485,151.1342664,147.2874953,147.5755768,254837100,3,0,6,2,2014
2/4/14,148.2364812,148.9905846,147.5247459,148.6092987,165012400,4,1,6,2,2014
2/5/14,148.0924022,148.753301,147.1857899,148.4228516,164230500,5,2,6,2,2014
2/6/14,148.7702932,150.3801727,148.4652619,150.3801727,132877600,6,3,6,2,2014
2/7/14,151.0834097,152.4052074,150.5919698,152.2442169,170787200,7,4,6,2,2014
2/10/14,152.2611862,152.5746988,151.8460137,152.5238495,92218800,10,0,7,2,2014
2/11/14,152.650976,154.5828367,152.5492903,154.1930695,117814100,11,1,7,2,2014
2/12/14,154.4217963,154.9132362,153.9642559,154.2692871,94717700,12,2,7,2,2014
2/13/14,153.2271395,155.2267864,153.2186711,155.0657959,100542200,13,3,7,2,2014
2/14/14,154.9217703,156.2096819,154.7777295,155.9216003,96498400,14,4,7,2,2014
2/18/14,156.0570914,156.3197676,155.6080194,156.1079407,80460900,18,1,8,2,2014
2/19/14,155.7012946,156.7095931,154.9471911,155.074295,126524300,19,2,8,2,2014
2/20/14,155.2860672,156.3452017,154.7183727,155.9893341,104998100,20,3,8,2,2014
2/21/14,156.285861,156.6586783,155.7351163,155.8113708,118116400,21,4,8,2,2014
2/24/14,156.1418512,157.7263124,156.0740651,156.6756592,114063900,24,0,9,2,2014
2/25/14,156.8027417,157.2518137,156.0994749,156.616333,117085000,25,1,9,2,2014
2/26/14,156.8451122,157.2602976,156.1842133,156.6248169,98677200,26,2,9,2,2014
2/27/14,156.3960502,157.4890713,156.2181099,157.4467163,93880800,27,3,9,2,2014
2/28/14,157.4212559,158.5735946,156.7942566,157.8449097,150842000,28,4,9,2,2014
3/3/14,156.455357,157.1332057,155.6927853,156.7349701,167748500,3,0,10,3,2014
3/4/14,158.2685927,159.2768909,158.2347061,158.937973,167545900,4,1,10,3,2014
3/5/14,159.0735171,159.3531301,158.8277906,159.0819855,88376900,5,2,10,3,2014
3/6/14,159.4717965,159.8107144,159.1074474,159.4463654,82516500,6,3,10,3,2014
3/7/14,160.1073013,160.1073013,158.8109083,159.5141754,114513500,7,4,10,3,2014
3/10/14,159.2684376,159.4887329,158.5143342,159.4294281,74939200,10,0,11,3,2014
3/11/14,159.6665897,159.8953663,158.2770062,158.6413422,99009100,11,1,11,3,2014
3/12/14,157.8703536,158.7430793,157.514473,158.6837616,104824400,12,2,11,3,2014
3/13/14,159.1582603,159.2853642,156.4638283,156.9044189,155014300,13,3,11,3,2014
3/14/14,156.6247814,157.4297208,156.2773822,156.4637909,153919600,14,4,11,3,2014
3/17/14,157.2518025,158.2516321,157.1840163,157.8788147,98359500,17,0,12,3,2014
3/18/14,158.2007674,159.2175336,158.0312955,159.0057068,101804600,18,1,12,3,2014
3/19/14,159.0226764,159.2429846,157.1501339,158.158432,176267300,19,2,12,3,2014
3/20/14,157.8110242,159.200608,157.5314112,159.0819855,117241000,20,3,12,3,2014
3/21/14,159.7501014,160.8649713,158.3203351,158.4650116,163128000,21,4,12,3,2014
3/24/14,159.0096722,159.2054224,157.1203462,157.8096924,121411000,24,0,13,3,2014
3/25/14,158.6096087,159.0947117,157.6734649,158.558548,103852000,25,1,13,3,2014
3/26/14,159.1798431,159.4351598,157.3756274,157.4181824,119843000,26,2,13,3,2014
3/27/14,157.2309344,157.733049,156.5075392,157.0862579,142383000,27,3,13,3,2014
3/28/14,157.537331,158.6522006,157.4437153,157.860733,101642000,28,4,13,3,2014
3/31/14,158.864944,159.4011078,157.8862451,159.1542969,99745000,31,0,14,3,2014
4/1/14,159.6734462,160.3032257,159.1458012,160.20961,89193000,1,1,14,4,2014
4/2/14,160.4139416,160.9586115,160.1160698,160.7458496,78774000,2,2,14,4,2014
4/3/14,160.9926257,161.0351806,160.0394568,160.5330658,77435000,3,3,14,4,2014
4/4/14,161.4096616,161.4436978,158.3799348,158.6352386,169381000,4,4,14,4,2014
4/7/14,158.2522054,158.5160279,156.55863,156.882019,140803000,7,0,15,4,2014
4/8/14,156.8139648,157.7841582,156.2437647,157.5288544,112660000,8,1,15,4,2014
4/9/14,157.9543904,159.2735034,157.4948176,159.2224426,100254000,9,2,15,4,2014
4/10/14,159.2139422,159.2905334,155.6820879,155.8778381,172959000,10,3,15,4,2014
4/11/14,155.0097357,156.099075,154.3033649,154.4735718,167251000,11,4,15,4,2014
4/14/14,155.6820482,156.0565111,154.4139963,155.690567,132382000,14,0,16,4,2014
4/15/14,156.0140113,156.8735645,154.4736047,156.7629242,157093000,15,1,16,4,2014
4/16/14,157.8437165,158.4139166,157.1458516,158.4054108,105197000,16,2,16,4,2014
4/17/14,158.1926795,159.0692572,157.9203382,158.626709,105255000,17,3,16,4,2014
4/21/14,158.6691588,159.2308528,158.4734217,159.1797791,68329000,21,0,17,4,2014
4/22/14,159.3415802,160.337304,159.2564833,159.9032745,85790000,22,1,17,4,2014
4/23/14,159.843659,159.928756,159.401111,159.5287628,73869000,23,2,17,4,2014
4/24/14,160.3117479,160.3287724,159.0862379,159.8521881,88170000,24,3,17,4,2014
4/25/14,159.3330609,159.4266766,158.1841419,158.5415802,100380000,25,4,17,4,2014
4/28/14,159.1883776,159.7330473,157.4096921,159.0437012,135121000,28,0,18,4,2014
4/29/14,159.5543627,160.0309472,159.213949,159.7841492,84098000,29,1,18,4,2014
4/30/14,159.5202591,160.4223669,159.2989786,160.2606659,101508000,30,2,18,4,2014
5/1/14,160.1840943,160.7117393,159.7670765,160.27771,93019000,1,3,18,5,2014
5/2/14,160.2606744,160.967045,159.8096205,160.0479126,98122000,2,4,18,5,2014
5/5/14,159.2649546,160.4649341,158.8224064,160.3542938,75883000,5,0,19,5,2014
